Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
84;145507;Cybermetrics;journal;11375019;6,201;Q1;15;2;1;34;6;1;6;17;Spain;Western Europe;Centro de Informacion y Documentacion Cientifica;1997, 1999-2002, 2004-2013, 2015;Library and Information Sciences (Q1)
85;53180;Ion channels;journal;10597514;6,169;Q1;9;0;10;0;90;10;0;0;United States;Northern America;Plenum Press;1988, 1990, 1992, 1996;Medicine (miscellaneous) (Q1)
86;17592;Journal of Biological Chemistry;journal;00219258, 1083351X;6,161;Q1;497;5396;14714;235437;110363;14516;7,61;43,63;United States;Northern America;American Society for Biochemistry and Molecular Biology Inc.;1945-2020;"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
87;22697;American Economic Review;journal;28282;6,146;Q1;277;145;443;3380;1190;442;1,93;23,31;United States;Northern America;American Economic Association;1978-2020;Economics and Econometrics (Q1)
88;20191;Academy of Management Journal;journal;14273;5,986;Q1;304;42;158;2289;696;158;2,98;54,5;United States;Northern America;Academy of Management;1975-1987, 1989-2019;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
89;15870;Journal of Clinical Investigation;journal;00219738, 15588238;5,927;Q1;471;453;2159;17700;21400;2028;10,34;39,07;United States;Northern America;The American Society for Clinical Investigation;1945-2020;Medicine (miscellaneous) (Q1)
90;17400;Current Opinion in Structural Biology;journal;1879033X, 0959440X;5,917;Q1;197;103;341;4855;2371;305;7,84;47,14;Netherlands;Western Europe;Elsevier Ltd.;1991-2020;"Molecular Biology (Q1); Structural Biology (Q1)"
91;22266;Human Molecular Genetics;journal;14602083, 09646906;5,894;Q1;269;313;863;12058;7595;837;9,19;38,52;United Kingdom;Western Europe;Oxford University Press;1992-2020;"Genetics (Q1); Genetics (clinical) (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
92;22214;Genome Research;journal;15495469, 10889051;5,892;Q1;285;143;401;4885;2562;384;6,44;34,16;United States;Northern America;Cold Spring Harbor Laboratory Press;1991-2020;"Genetics (Q1); Genetics (clinical) (Q1)"
93;17426;DNA Research;journal;17561663, 13402838;5,818;Q1;94;54;159;673;844;159;4,51;12,46;United Kingdom;Western Europe;Oxford University Press;1994-2019;"Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
94;25820;Communications on Pure and Applied Mathematics;journal;00103640, 10970312;5,788;Q1;95;49;120;1123;245;120;1,54;22,92;United States;Northern America;Wiley-Liss Inc.;1948-2020;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
95;17378;Critical Reviews in Biochemistry and Molecular Biology;journal;10409238, 15497798;5,771;Q1;102;24;35;2258;269;35;7,68;94,08;United Kingdom;Western Europe;Informa Healthcare;1972-2020;"Biochemistry (Q1); Molecular Biology (Q1)"
